title,body,repo,url
Flask's blueprint's render templates rendering another blueprint's folder's html file !!!,"I was learning Flask & Web Application making.
I am getting the problem when i am return the render templates of a html file  in blueprint i am getting another blueprint's html file. 
I am sharing the screenshots here below and say what is the problem here.

<img width=""1366"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/1eeb056a-b53a-434b-ae46-e7e7712a448f"" />
See here in the render template at line 33, i wish it will render the `checking.html` file which is present i",pallets/flask,https://github.com/pallets/flask/issues/5901
package detection fails with namespace package in editable mode,"Given a package which uses namespace packaging and has been installed using ""editable installs"", Flask's scaffold (specifically `_find_package_path`) will error if the name passed to `Flask(...)` is the package name rather than a sub-module.

This affects cases where the name is the name of the package (and thus potentially not actually the `__name__`) though also happens when using `__name__` and the app is defined within a `__init__.py` in the root of the namespaced package.

Notably the issue",pallets/flask,https://github.com/pallets/flask/issues/5897
change default redirect code to 303,"Flask and Werkzeug `redirect` currently defaults to a [302](https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/302). Routing uses [307](https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/307) since that preserves method consistently. We didn't change the `redirect` default to 307, since that would break the common pattern of ""GET form, POST form, redirect to GET result"", ending up doing ""POST result"" instead. [303](https://developer.mozilla.org/en-US/docs/Web/HTTP",pallets/flask,https://github.com/pallets/flask/issues/5895
Add explicit support for async teardown_request handlers,"### Summary

At the moment, `teardown_request` handlers in Flask are synchronous and cannot be defined as async functions. This makes it harder for apps that depend on async cleanup logic (e.g., closing async DB connections or awaiting async tasks) to integrate cleanly with Flask’s request lifecycle.

### Problem

When users attempt to define an async teardown handler like:

```python
@app.teardown_request
async def cleanup_async_resources(response):
    await close_async_connections()
```

Flas",pallets/flask,https://github.com/pallets/flask/issues/5887
asgiref fails with gevent patching,"When `gevent.monkey.patch_all()` is used, `async def` functions fail when multiple concurrent requests are sent. asgiref gives the error `RuntimeError: You cannot use AsyncToSync in the same thread as an async event loop - just await the async function directly.`. This suggests that somehow, gevent is causing a running loop to be visible across threads.

`example.py`:

```python
# /// script
# requires-python = ""~=3.14.0""
# dependencies = [
#     ""flask[async]"",
#     ""gevent"",
# ]
#
# [tool.uv]",pallets/flask,https://github.com/pallets/flask/issues/5881
Teardown handler chain exception handling,"Flask executes registered teardown handlers (used for closing DB connections, releasing locks, etc.) in a chain. The do_teardown_request method which is supposed to make these teardown requests does not wrap individual handlers in a try/except block. If one handler raises an exception, the loop terminates immediately, and all subsequent handlers are skipped, this can lead to the application to skip critical cleanup routines if a non critical one fails.

Sample reproduction code
```python
import ",pallets/flask,https://github.com/pallets/flask/issues/5870
Reduce RFPDupeFilter memory usage by storing raw fingerprint bytes,"## Summary

Store raw SHA-1 `bytes` digests in memory inside `RFPDupeFilter` instead of 40-character hex `str` representations.

---

## Motivation

While looking at memory usage of large crawls, I noticed that `RFPDupeFilter` converts the 20-byte SHA-1 digest returned by the fingerprinter into a 40-character hex string via `.hex()` and stores that string in a `set`.

For in-memory dedups, the hex encoding is not required instead the raw digest is sufficient. The hex representation is only neede",scrapy/scrapy,https://github.com/scrapy/scrapy/issues/7298
captcha processing based on Scrapy middleware,"captcha processing based on Scrapy middleware
1. Use process_response to check if there is a captcha in the response body. If it does, block the request queue to prioritize captcha and store the captcha result and captcha ID in the middleware class
2. Modify the request that needs to carry a successful captcha identifier through process_request
﻿
Mainly due to blockage issues
How can I block in middleware to prevent requests from using expired identifiers？
Otherwise, it will result in unnecessar",scrapy/scrapy,https://github.com/scrapy/scrapy/issues/7295
An exception triggered by a response request header,"我在抓取数据时遇到了以下问题。

2026-02-26 11:13:30 [scrapy.pipelines.media] ERROR: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseFailed'>: [<twisted.python.failure.Failure twisted.web.http_headers.InvalidHeaderName: b'\xe2\x80\x98access-control-allow-origin\xe2\x80\x99'>] D:\hmy\project\YixinDa_crawler_scrapy\.venv\lib\site-packages\twisted\internet\defer.py:1853:_inlineCallbacks D:\hmy\project\YixinDa_crawler_scrapy\.venv\lib\site-packages\twisted\python\failure.py:467:throwExceptionIn",scrapy/scrapy,https://github.com/scrapy/scrapy/issues/7291
An exception triggered by a response request header,"I encountered the following problem while crawling data.



`2026-02-26 11:13:30 [scrapy.pipelines.media] ERROR: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseFailed'>: [<twisted.python.failure.Failure twisted.web.http_headers.InvalidHeaderName: b'\xe2\x80\x98access-control-allow-origin\xe2\x80\x99'>]
D:\hmy\project\YixinDa_crawler_scrapy\.venv\lib\site-packages\twisted\internet\defer.py:1853:_inlineCallbacks
D:\hmy\project\YixinDa_crawler_scrapy\.venv\lib\site-packages\tw",scrapy/scrapy,https://github.com/scrapy/scrapy/issues/7290
